,index,word,contain_1,contain_2,contain_3,contain_4,contain_5,length,num_space,start,end
16237,21197, Universe,0,0,0,0,0,9,1,0,0
16238,21207,Wet Napkin,0,0,0,0,0,10,1,1,0
16239,21207, Napkin,0,0,0,0,0,7,1,0,0
16240,21208,Wet Napkin,0,0,0,0,0,10,1,1,0
16241,21208, Napkin,0,0,0,0,0,7,1,0,0
16242,21209,Wet Napkin,0,0,0,0,0,10,1,1,0
16243,21209, Napkin,0,0,0,0,0,7,1,0,0
16244,21210,Wet Napkin,0,0,0,0,0,10,1,1,0
16245,21210, Napkin,0,0,0,0,0,7,1,0,0
16246,21211,Wet Napkin,0,0,0,0,0,10,1,1,0
16247,21211, Napkin,0,0,0,0,0,7,1,0,0
16248,21212,Wet Napkin,0,0,0,0,0,10,1,1,0
16249,21212, Napkin,0,0,0,0,0,7,1,0,0
16250,21213,Wet Napkin,0,0,0,0,0,10,1,1,0
16251,21213, Napkin,0,0,0,0,0,7,1,0,0
16252,21214,Wet Napkin,0,0,0,0,0,10,1,1,0
16253,21214, Napkin,0,0,0,0,0,7,1,0,0
16254,21215,Wet Napkin,0,0,0,0,0,10,1,1,0
16255,21215, Napkin,0,0,0,0,0,7,1,0,0
16256,21216,Wet Napkin,0,0,0,0,0,10,1,1,0
16257,21216, Napkin,0,0,0,0,0,7,1,0,0
16258,21217,The Dow,0,0,0,0,0,7,1,1,0
16259,21217, Dow,0,0,0,0,0,4,1,0,0
16260,21218,The Dow,0,0,0,0,0,7,1,1,0
16261,21218, Dow,0,0,0,0,0,4,1,0,0
16262,21219,The Dow,0,0,0,0,0,7,1,1,0
16263,21219, Dow,0,0,0,0,0,4,1,0,0
16264,21220,The Dow,0,0,0,0,0,7,1,1,0
16265,21220, Dow,0,0,0,0,0,4,1,0,0
16266,21244,AP To,0,0,0,0,0,5,1,1,0
16267,21244, To,0,0,0,0,0,3,1,0,0
16268,21245,AP To,0,0,0,0,0,5,1,1,0
16269,21245, To,0,0,0,0,0,3,1,0,0
16270,21246,AP To,0,0,0,0,0,5,1,1,0
16271,21246, To,0,0,0,0,0,3,1,0,0
16272,21247,AP To,0,0,0,0,0,5,1,1,0
16273,21247, To,0,0,0,0,0,3,1,0,0
16274,21248,AP To,0,0,0,0,0,5,1,1,0
16275,21248, To,0,0,0,0,0,3,1,0,0
16276,21249,AP To,0,0,0,0,0,5,1,1,0
16277,21249, To,0,0,0,0,0,3,1,0,0
16278,21250,AP To,0,0,0,0,0,5,1,1,0
16279,21250, To,0,0,0,0,0,3,1,0,0
16280,21251,AP To,0,0,0,0,0,5,1,1,0
16281,21251, To,0,0,0,0,0,3,1,0,0
16282,21252,AP To,0,0,0,0,0,5,1,1,0
16283,21252, To,0,0,0,0,0,3,1,0,0
16284,21253,AP To,0,0,0,0,0,5,1,1,0
16285,21253, To,0,0,0,0,0,3,1,0,0
16286,21254,AP To,0,0,0,0,0,5,1,1,0
16287,21254, To,0,0,0,0,0,3,1,0,0
16288,21255,AP To,0,0,0,0,0,5,1,1,0
16289,21255, To,0,0,0,0,0,3,1,0,0
16290,21256,AP To,0,0,0,0,0,5,1,1,0
16291,21256, To,0,0,0,0,0,3,1,0,0
16292,21257,AP To,0,0,0,0,0,5,1,1,0
16293,21257, To,0,0,0,0,0,3,1,0,0
16294,21258,AP To,0,0,0,0,0,5,1,1,0
16295,21258, To,0,0,0,0,0,3,1,0,0
16296,21259,AP To,0,0,0,0,0,5,1,1,0
16297,21259, To,0,0,0,0,0,3,1,0,0
16298,21260,AP To,0,0,0,0,0,5,1,1,0
16299,21260, To,0,0,0,0,0,3,1,0,0
16300,21282,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16301,21282, Cuts,0,0,0,0,0,5,1,0,0
16302,21283,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16303,21283, Cuts,0,0,0,0,0,5,1,0,0
16304,21284,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16305,21284, Cuts,0,0,0,0,0,5,1,0,0
16306,21285,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16307,21285, Cuts,0,0,0,0,0,5,1,0,0
16308,21286,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16309,21286, Cuts,0,0,0,0,0,5,1,0,0
16310,21287,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16311,21287, Cuts,0,0,0,0,0,5,1,0,0
16312,21288,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16313,21288, Cuts,0,0,0,0,0,5,1,0,0
16314,21289,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16315,21289, Cuts,0,0,0,0,0,5,1,0,0
16316,21290,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16317,21290, Cuts,0,0,0,0,0,5,1,0,0
16318,21291,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16319,21291, Cuts,0,0,0,0,0,5,1,0,0
16320,21292,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16321,21292, Cuts,0,0,0,0,0,5,1,0,0
16322,21293,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16323,21293, Cuts,0,0,0,0,0,5,1,0,0
16324,21302,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16325,21302, Cuts,0,0,0,0,0,5,1,0,0
16326,21303,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16327,21303, Cuts,0,0,0,0,0,5,1,0,0
16328,21304,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16329,21304, Cuts,0,0,0,0,0,5,1,0,0
16330,21305,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16331,21305, Cuts,0,0,0,0,0,5,1,0,0
16332,21306,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16333,21306, Cuts,0,0,0,0,0,5,1,0,0
16334,21307,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16335,21307, Cuts,0,0,0,0,0,5,1,0,0
16336,21308,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16337,21308, Cuts,0,0,0,0,0,5,1,0,0
16338,21309,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16339,21309, Cuts,0,0,0,0,0,5,1,0,0
16340,21310,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16341,21310, Cuts,0,0,0,0,0,5,1,0,0
16342,21311,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16343,21311, Cuts,0,0,0,0,0,5,1,0,0
16344,21312,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16345,21312, Cuts,0,0,0,0,0,5,1,0,0
16346,21313,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16347,21313, Cuts,0,0,0,0,0,5,1,0,0
16348,21314,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16349,21314, Cuts,0,0,0,0,0,5,1,0,0
16350,21315,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16351,21315, Cuts,0,0,0,0,0,5,1,0,0
16352,21316,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16353,21316, Cuts,0,0,0,0,0,5,1,0,0
16354,21317,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16355,21317, Cuts,0,0,0,0,0,5,1,0,0
16356,21318,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16357,21318, Cuts,0,0,0,0,0,5,1,0,0
16358,21319,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16359,21319, Cuts,0,0,0,0,0,5,1,0,0
16360,21320,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16361,21320, Cuts,0,0,0,0,0,5,1,0,0
16362,21321,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16363,21321, Cuts,0,0,0,0,0,5,1,0,0
16364,21322,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16365,21322, Cuts,0,0,0,0,0,5,1,0,0
16366,21323,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16367,21323, Cuts,0,0,0,0,0,5,1,0,0
16368,21324,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16369,21324, Cuts,0,0,0,0,0,5,1,0,0
16370,21325,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16371,21325, Cuts,0,0,0,0,0,5,1,0,0
16372,21326,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16373,21326, Cuts,0,0,0,0,0,5,1,0,0
16374,21327,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16375,21327, Cuts,0,0,0,0,0,5,1,0,0
16376,21328,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16377,21328, Cuts,0,0,0,0,0,5,1,0,0
16378,21329,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16379,21329, Cuts,0,0,0,0,0,5,1,0,0
16380,21330,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16381,21330, Cuts,0,0,0,0,0,5,1,0,0
16382,21331,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16383,21331, Cuts,0,0,0,0,0,5,1,0,0
16384,21332,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16385,21332, Cuts,0,0,0,0,0,5,1,0,0
16386,21333,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16387,21333, Cuts,0,0,0,0,0,5,1,0,0
16388,21334,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16389,21334, Cuts,0,0,0,0,0,5,1,0,0
16390,21335,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16391,21335, Cuts,0,0,0,0,0,5,1,0,0
16392,21336,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16393,21336, Cuts,0,0,0,0,0,5,1,0,0
16394,21337,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16395,21337, Cuts,0,0,0,0,0,5,1,0,0
16396,21338,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16397,21338, Cuts,0,0,0,0,0,5,1,0,0
16398,21339,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
